episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
62,0.0,-5.124,-0.40647310804378867,-0.055363499017326886,-0.04062170444550413,-0.0005051824390388908,-0.0008761242397383232,-0.11496381577806858,1.0,1.0,1.0,1.0
63,0.0,-4.434,-0.5328046142754146,-0.015810140880196152,0.007582348548967855,6.382018985015146e-05,3.997479851679622e-05,0.093794650785817,1.0,0.0,0.0,0.0
64,0.0,0.0020000000000000018,0.00024570024570024634,-0.006902593134193169,-0.001759504371828445,3.4886825231176177e-06,-5.827957237552171e-05,0.10092550522671104,0.0,1.0,1.0,0.0
65,-1.0,-2.932,-0.40643193789853066,0.75289438203254,nan,-0.00033226469777934654,nan,0.005239676275794858,1.0,nan,nan,0.0
66,-1.0,-1.99,-0.3089102763117044,0.5518973956640634,nan,-0.00010517424410037314,nan,0.03562019271248912,1.0,nan,nan,0.0
67,0.0,0.0,0.0,0.020864588410364898,-0.04313461705133514,-0.0006221016606393626,-0.0011056125947763696,0.18948133622958874,0.0,1.0,1.0,0.0
68,-1.0,-1.6300000000000001,-0.23984696880517953,0.5378336537612569,nan,-0.0001805107916512587,nan,0.10588670151315477,1.0,nan,nan,0.0
69,0.0,-2.606,-0.36184393224104416,-0.038498137828244294,-0.043312197336521835,-0.00036754993461226106,-0.0009528654393307355,0.1655022689639506,1.0,1.0,1.0,0.0
70,0.0,-3.878,-0.3805691854759568,-0.04580791246496044,-0.032149578054129754,-0.00036851117880072897,-0.0006367295863499944,-0.10969046074017197,1.0,1.0,1.0,1.0
71,-1.0,2.2640000000000002,0.29471491799010674,0.6247605529938797,nan,-0.00024006418106821913,nan,0.015449557182310558,0.0,nan,nan,0.0
72,0.0,-4.942,-0.5636405109489051,-0.03865844704725116,-0.037257032897933307,-0.0005116135514120271,-0.0008163338978108615,-0.12337065722398394,1.0,1.0,1.0,1.0
73,0.0,0.46799999999999997,0.05149647887323944,-0.015474313141139812,0.006340053834033686,6.639416817611713e-05,2.9782106455800942e-05,0.11484934511208642,0.0,0.0,0.0,0.0
74,0.0,-2.426,-0.2816345484095658,-0.03865802929570167,-0.02145477849619412,-0.0002150504778341009,-0.0003978058725176433,-0.07162297139629478,1.0,1.0,1.0,1.0
75,0.0,-0.23399999999999999,-0.03215169002473207,-0.023120909071013357,-0.022591039817890617,-0.0005437988798956482,-0.0008008466610415174,0.07794747584011202,1.0,1.0,1.0,0.0
76,0.0,-4.298,-0.40700757575757573,-0.0678616094706523,-0.06450924492156576,-0.0007268684274998841,-0.0011112638470526606,-0.11356554310726663,1.0,1.0,1.0,1.0
77,0.0,-2.484,-0.24405580664177634,-0.05595986071274847,-0.04389468020316112,-0.00047761770647666607,-0.0007708713912770213,-0.14116753263123677,1.0,1.0,1.0,1.0
78,0.0,0.19999999999999998,0.02659574468085106,0.004657537159413749,0.010006442380217168,-1.1338798928098217e-05,0.0001367548303117917,0.03961249413141285,0.0,0.0,0.0,0.0
79,0.0,-3.156,-0.2817857142857143,-0.06761119263653856,-0.05807709816549427,-0.00046382722658404936,-0.0009455005767913566,-0.11295650293318457,1.0,1.0,1.0,1.0
80,0.0,-3.086,-0.3801428923380143,-0.07362255198062123,-0.06263892129219037,-0.00041510277367722004,-0.0007141246546419327,-0.10536020191196366,1.0,1.0,1.0,1.0
81,-1.0,-3.652,-0.5272884781980941,0.619484943182494,nan,-0.0002309975655610003,nan,0.047668899831026956,1.0,nan,nan,0.0
82,0.0,0.0,0.0,0.054959144769154034,-0.04168219584834264,-0.0005914650851548498,-0.0011321550197323494,0.14773482181091935,0.0,1.0,1.0,0.0
83,0.0,-1.862,-0.24623115577889448,-0.08266740164148605,-0.07188779234338133,-0.00023793410014051023,-0.0004811202100026096,0.024662133244413076,1.0,1.0,1.0,0.0
84,0.0,-3.3040000000000003,-0.4418293661406793,-0.04479364671228356,-0.05977279745735838,-0.000448641118125795,-0.0011849069458581675,-0.10188761621290471,1.0,1.0,1.0,1.0
85,0.0,-1.44,-0.23076923076923078,0.03962030545317602,-0.03584142833604057,-0.000560406164351648,-0.0008305285675854205,0.08842078585108698,1.0,1.0,1.0,0.0
86,0.0,-6.042,-0.4600274097761535,-0.0002260202901914754,0.005719750600845485,1.6561194310334647e-05,-6.04803363823204e-05,0.231762990863214,1.0,0.0,1.0,0.0
87,0.0,-3.184,-0.3888617489008305,-0.06890278926854962,-0.05925348177817662,-0.0004015472042031669,-0.0007251394068480745,-0.08902007868706541,1.0,1.0,1.0,1.0
88,0.0,-3.868,-0.4833791552111971,-0.07643375154392401,-0.06970109552360756,-0.0004360068909439992,-0.0007681776051454912,-0.10571017781984043,1.0,1.0,1.0,1.0
