episode,random_mpc_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
27,1,-1.0458303520037493,0.7770343931936645,0.21973868316423656,0.013706914737074489,0.005,1640176069,158779452,8.295602389839447,14.295602389839447,7148,14.296000000001444,0,249,0.498,0.03483491885842194,4,0.15368072364083554,0.028477309819584778,0.48716361800039276,4205,0.16843352328000266,0.9157205853943903,2943,0.0325781140098762,0.05714275132269571,0.0008369374419691008,0.00013878525967914228,0.1876478940682792
27,0,-1.0458303520037493,0.7770343931936645,0.21973868316423656,0.013706914737074489,0.005,1640176069,158779452,8.295602389839447,14.295602389839447,7148,14.296000000001444,1,0,0.0,0.0,0,0.14601370499487565,0.0009738915964912346,0.9006203955392494,1335,0.5785551585468204,1.3836740745381468,5813,0.033236106814421566,0.05841862937325928,0.0012195895461864065,0.0011390584111867455,0.2855257941517648
28,1,-0.5689952040128743,0.5966171756681478,0.35325320190191434,0.018605004928009716,0.005,1296022970,1628563317,3.2996512796072843,9.299651279607284,4650,9.299999999999775,1,1033,2.066,0.2221505376344086,1,0.13100318757400203,0.014691727574896786,0.5699416531811387,2010,0.26491261367842683,0.8877815236085036,2640,0.02282087712811667,0.05698068106448137,0.000992371495122582,0.00015932061749689345,0.19218656868751208
28,0,-0.5689952040128743,0.5966171756681478,0.35325320190191434,0.018605004928009716,0.005,1296022970,1628563317,3.2996512796072843,9.299651279607284,4650,9.299999999999775,1,0,0.0,0.0,0,0.09663700320255907,0.004995009030159084,0.6471089401048217,855,0.3948932237792697,1.0126310768734763,3795,0.013134122113855973,0.016170568264183414,0.0008179003621426254,0.0004519908228330803,0.16499828836142774
29,1,-0.6110625287000482,0.2128757493096056,0.46781349040173115,0.015508424929488441,0.005,1521656582,1098352546,1.7612537793685754,7.761253779368575,3881,7.761999999999367,1,708,1.416,0.18242720948209223,1,0.1451673082584079,0.0073851853559445515,0.6824129396972126,1605,0.31317167472100693,0.9564692385504475,2276,0.03571866657110543,0.12044512822750064,0.0011028433000777641,0.00017575021299688203,0.23626630717355598
29,0,-0.6110625287000482,0.2128757493096056,0.46781349040173115,0.015508424929488441,0.005,1521656582,1098352546,1.7612537793685754,7.761253779368575,3881,7.761999999999367,1,42,0.084,0.010821953104869879,1,0.11269594468821136,0.004165565680456148,0.725027465011926,895,0.3726719873314102,1.0301828117317877,2986,0.012958117581857895,0.023819597113430298,0.0009397852781205163,0.00026824584857714477,0.18285492090330163
30,1,-1.0854117732673925,0.2857530538961609,0.46046206239454357,0.007081799242198694,0.005,1428439975,1218973410,2.9778019497047747,8.977801949704775,4489,8.977999999999668,1,914,1.828,0.20360882156382268,8,0.16388170260547627,0.003265739365320267,0.872912886961887,1970,0.31866740741730293,1.287906016469209,2519,0.035917159458416656,0.12953573484545575,0.0013045152224040483,0.00017432132752951237,0.23717230497959163
30,0,-1.0854117732673925,0.2857530538961609,0.46046206239454357,0.007081799242198694,0.005,1428439975,1218973410,2.9778019497047747,8.977801949704775,4489,8.977999999999668,1,247,0.494,0.05502339051013589,10,0.17975416859690993,0.0011043377164545213,1.0276383251205237,1115,0.5479748632922549,1.4154049019348862,3374,0.037285912305266365,0.060747753075778045,0.0012692710381820465,0.000868871496287112,0.2933787528531566
31,1,-0.7849052770855518,0.6307408182282292,0.3207813847581327,0.005112392627399054,0.005,1289703232,1412954166,4.413117975599394,10.413117975599395,5207,10.414000000000147,1,1307,2.614,0.2510082581140772,1,0.14285356635364457,0.015767802346364577,0.5994163698436169,2595,0.23276080840512675,0.961705416309001,2612,0.025425289462448524,0.05826539277729601,0.0010082671250720003,0.000133575498692262,0.21815884603249552
31,0,-0.7849052770855518,0.6307408182282292,0.3207813847581327,0.005112392627399054,0.005,1289703232,1412954166,4.413117975599394,10.413117975599395,5207,10.414000000000147,1,0,0.0,0.0,0,0.11314648820844135,0.00601181107995518,0.7581481243452717,1000,0.46968050608580164,1.1743654028799861,4207,0.012253528434813275,0.011622396661768971,0.0008075007853701278,0.0003862716221604137,0.15189999751774677
32,1,-0.6568492984958675,0.38448710154285415,0.2137675960547862,0.011297664741136939,0.005,1077749137,313807652,4.871348227033619,10.871348227033618,5436,10.8720000000003,1,905,1.81,0.16648270787343636,11,0.10678442122524069,0.012440298565064995,0.4995514448327964,1890,0.2230533623022287,0.9938843952921039,3546,0.02311944231737364,0.10030185480372582,0.0008621535266788377,0.0002831743501785289,0.17654932905425197
32,0,-0.6568492984958675,0.38448710154285415,0.2137675960547862,0.011297664741136939,0.005,1077749137,313807652,4.871348227033619,10.871348227033618,5436,10.8720000000003,1,1045,2.09,0.19223693892568064,15,0.12157915775628145,0.0009461232678502049,0.6847253791788724,940,0.4641111524409179,1.0882743985720336,4496,0.035819060449265076,0.06254660195147402,0.00118443134168847,0.0010966833025260819,0.2830347275860898
33,1,-0.6538455823969419,0.5018956241050885,0.1966717123820575,0.006788097185633572,0.005,1392521267,1097942356,5.876499434025722,11.876499434025721,5939,11.878000000000636,1,702,1.4040000000000001,0.118201717460852,1,0.09617727920605072,0.01468886009650206,0.4249487684154283,1785,0.22391932350392565,1.004232884816381,4154,0.021758061929983783,0.06048905704336733,0.0008115863333528242,0.00033302832705623,0.19106531716831981
