episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,qdot_norm_mean_delta_on_minus_off,cond_log10_mean_delta_on_minus_off,manip_w_mean_delta_on_minus_off,manip_risk_mean_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_qdot_on,win_cond_on,win_manip_w_on,win_manip_risk_on
59,0,0.008000000000000007,0.0008707009142359598,0.0007051114099115713,-0.00023225886599394577,1.644025370516316e-07,-2.6903432996411725e-07,0.002716529957276864,-0.006871736159847597,-0.0021617685083916705,0.13462779908745062,0.0354573111829762,0,1,0,1,1,0
60,0,-0.01200000000000001,-0.001435063381966039,-0.0002117114588879726,-0.000351468607488286,1.2937899492635407e-05,3.185369615266246e-05,0.011701558735772943,0.0278423418523297,0.004619677737948802,0.11390898073603713,0.04102145751043341,1,1,0,0,1,0
61,0,0.0,0.0,5.18100844752456e-05,-0.0010233431512481315,-5.209424369206927e-06,-1.624106970718174e-05,0.0034647039779232836,-0.026056640213284243,-0.014560786845581042,0.10198545038359277,0.047044208776964094,0,1,0,1,1,0
62,0,0.055999999999999994,0.0038340408051485697,-0.0013219382759021847,0.000427876219983761,1.1466787216630114e-05,6.609991752821011e-07,-0.0008548406891998039,0.027304222806720624,0.04245330832599947,0.1707870088062884,0.022238991448171718,0,0,1,0,1,0
63,0,0.0,0.0,0.00019799455242777708,3.2823846838957865e-05,2.953345722338219e-06,-2.6151282549305216e-06,0.005339204123342323,-0.009257130683321568,0.012728098078141237,0.12983674688881608,0.029687821676788795,0,0,0,0,1,0
64,0,0.0,0.0,0.0013972075249049226,-1.3691602620231197e-05,-2.7515009634795223e-06,-4.566943369221509e-06,0.0037489489119713337,-0.001964553600336316,0.001255709929421478,0.12406552781751815,0.030363196577750558,0,1,0,0,1,0
65,0,-0.0020000000000000018,-0.000217060994139354,2.914965849398765e-05,-2.7853474198324263e-05,2.0800317881224887e-06,7.873216587573869e-07,0.003131006289186028,-0.009689394034089638,-0.0038526965102234634,0.12959237088226738,0.03378312137778236,1,1,0,1,1,0
66,0,0.04600000000000001,0.005448945747453211,-0.0027072852712591577,-0.0008805740688625566,2.30499608675481e-06,6.123171413717715e-06,0.0007630940222470572,-0.045541113120877164,-0.02157878004726088,0.10550691262446164,0.03882994829684672,0,1,0,1,1,0
67,0,-0.024000000000000007,-0.003022670025188915,-0.0005645648355711713,-0.0013885809335638759,-8.139156120008412e-06,-1.7254721070337033e-05,5.680876740851715e-05,-0.06920386560870728,-0.00527076466324683,0.10498330097434286,0.0434333731111678,1,1,0,1,1,0
68,0,0.0020000000000000018,0.00022737608003637992,-0.000917529208668777,6.221693865262126e-05,2.9229305473540534e-06,6.7107205245783646e-06,0.0035680414614468747,0.004594734659522093,-0.04334289530655733,0.10825865402949808,0.035099935825233096,0,0,0,1,1,0
69,0,0.0,0.0,0.00018065672885084205,2.4689120889064e-06,2.140927164207473e-06,-1.5989933757617559e-06,0.003383687029295146,-0.007073455871369205,-0.007854296368284608,0.11318421088236895,0.03332360419737153,0,0,0,1,1,0
70,0,0.006000000000000227,0.0004922067268252617,-1.398512036548949e-05,-9.389071937412896e-06,1.1206070293553138e-05,2.721508902504355e-07,0.0014724010509865049,0.026149576656194995,-0.007929748976022388,0.1464774240628831,0.02539637646725757,0,1,0,1,1,0
71,0,-4.934000000000001,-0.5096054534187151,0.10439196307735235,nan,9.941147008199372e-05,nan,0.0017000861915487109,0.056616496150132534,0.43231059346468115,0.12169567411187839,0.0319907025052895,1,0,0,0,1,0
72,0,0.0,0.0,0.001243769393259181,1.7337105154429516e-05,-1.0395234836275274e-06,-4.842766490689731e-06,0.004549642515062902,0.003517048909928988,0.00956396978567886,0.14151246370720505,0.028575603429234344,0,0,0,0,1,0
73,0,0.0,0.0,0.0011664002046407607,9.986943668750803e-06,3.444427994541083e-07,-3.816515445365879e-06,0.0033614379697192998,-0.013439679840368646,0.025754876297345408,0.1214387980335479,0.02767095645918619,0,0,0,0,1,0
74,0,-0.02999999999999936,-0.0028264556246467842,-0.005856688801222892,-0.000662137117760607,1.366377410366216e-05,2.5720904569305437e-05,-0.009509992670837075,-0.04430367016524395,-0.05956008412091096,0.1385782025422314,0.02966929250723758,1,1,1,1,1,0
75,0,0.006000000000000005,0.000646691097219227,0.0003849510043145432,-0.00023569300052741007,1.9001944078921203e-07,1.2108223909823232e-06,0.003937868318011961,-0.00910535486130093,-0.005743003433483107,0.13946154343471237,0.035107634177921156,0,1,0,1,1,0
76,0,0.0,0.0,0.0021816261842090012,-2.7475525122833133e-05,-1.8113829993514179e-06,-1.8428934256091564e-06,0.004093728653371459,0.004750743722717554,0.010805510550331743,0.13341462085062483,0.024683929723599386,0,1,0,0,1,0
77,0,0.02400000000000002,0.0019707669568073127,0.0003665340417320917,0.00013448318004485177,-1.7535113391075122e-06,-1.136290770881003e-07,-0.003499394311123255,0.004109444336637402,-0.040905809920472436,0.14294014342450562,0.025636203915685867,0,0,1,1,1,0
78,0,-0.013999999999999999,-0.0014705882352941176,0.001483301689580524,-1.6299265199998247e-05,-2.9939065513147735e-06,-4.6162832891529166e-06,0.0030763457185653265,0.0026459240684100216,0.0008111132327019988,0.13558880990716915,0.0324802588278965,1,1,0,0,1,0
79,0,-0.046,-0.003484848484848485,-0.001962248866720362,0.005308092689054557,8.261229687511816e-06,2.796128181492823e-05,-0.00976187400242115,-1.3082018724018123,1.5132392223357818,0.14804958935589377,0.02499879578273388,1,0,1,0,1,0
80,0,0.0,0.0,0.00038777643824022823,8.558874341282885e-05,-8.006512081781998e-06,-7.451394649392925e-07,-0.00312643399432061,0.0029755396059036876,-0.054765216615904055,0.12187920095135817,0.031153444945706203,0,0,1,1,1,0
81,0,0.0,0.0,-0.0011216185370721832,3.02753779281191e-05,5.086026672941591e-06,5.986001007755003e-06,0.0037513718538264296,-0.024497382259461853,0.0011183956934668338,0.112370040541792,0.034487762230615365,0,0,0,0,1,0
82,0,0.0,0.0,0.0015567250466089616,-0.0012931024510675938,-2.1822937506577912e-06,-3.110742110048223e-05,0.0005193795303605198,-0.02032965304299994,-0.0042580444253310645,0.1042362558371744,0.049548291217267226,0,1,0,1,1,0
83,0,0.0,0.0,0.0004160796941129752,-8.94409871168532e-05,8.576006692009516e-07,-6.4994392756950086e-06,0.003358379118744481,-0.001032129362329659,-0.003396790529754501,0.11570021678740414,0.03207241732420328,0,1,0,1,1,0
84,0,0.43999999999999995,0.04642329605401983,0.006158778010235816,0.0010145357686051834,1.6195694238710454e-05,-0.00015135552028777162,0.010867880720271478,0.08155859249823161,0.10261519070305081,0.11871340010370321,0.032603937546930854,0,0,0,0,1,0
85,0,0.0,0.0,-5.768207480784382e-05,-0.0006258489028974322,1.8204861403533753e-06,7.493662877618699e-06,0.005439695712271514,-0.004747725746716336,-0.010700504004009126,0.1177965965306887,0.04187012343089924,0,1,0,1,1,0
86,0,0.001999999999999988,0.00013215276860050265,0.0016440084664119808,5.117205129619856e-05,-1.066996365295587e-06,-2.0006099692862836e-06,0.0024910161015562343,0.006324679219164464,0.005901658211329153,0.1355095989066333,0.02049403963284914,0,0,0,0,1,0
87,0,-0.006000000000000005,-0.0005889281507656073,-0.0018285352628119034,-0.0002894562351735269,-9.862441759307542e-06,1.7479693980579965e-05,-0.009136031198212796,-0.008463436579059902,-0.026308086278048926,0.12055131233997808,0.030356959012261917,1,1,1,1,1,0
88,0,0.0,0.0,-0.0007021299230264011,-5.8502229155682484e-05,4.7052177726476015e-06,-5.375621193127924e-07,-0.006158633691307869,0.025589456797497245,-0.05400972610427335,0.11916562462013609,0.030931759820558968,0,1,1,1,1,0
89,0,0.0,0.0,0.00026025620556136,0.0003997953424470582,1.335919823706685e-05,-1.7676355813967264e-05,-0.007238493916826877,0.028129106665113923,-0.05307555234487138,0.1436715999161633,0.030535960242336103,0,0,1,1,1,0
90,0,-0.146,-0.015746333045729078,0.00851049136992929,-0.00037712529985991713,-0.00012814323706071312,-0.00042464390834544936,0.01608311731970652,0.18361962366975293,0.019357487976551457,0.13130433079399992,0.043990818639430135,1,1,0,0,1,0
91,0,-0.10400000000000001,-0.006400787789266372,0.0014935075153111599,-0.0008563341991363882,9.78322964544239e-06,-7.14092862055061e-05,0.005299528731624814,0.08009024853556768,0.00900925722343171,0.14993951416507287,0.020476395560954354,1,1,0,0,1,0
92,0,-0.003999999999999997,-0.0004144218814753416,0.0011234694638529857,1.285070710143471e-05,-2.0683104606706616e-06,-3.8284882360800285e-06,0.0038023034711337222,-0.0062075521870677,0.002707414135697306,0.13480203783861508,0.031879513797424576,1,0,0,0,1,0
