episode,uncertainty_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
21,1,-0.6980200961394174,0.390501710122516,0.16440820789849808,0.011345338080487828,0.005,294093398,1751679020,6.620848315152015,12.620848315152015,6311,12.622000000000885,1,0,0.0,0.0,0,0.11002179208690913,0.007362206784849815,0.7358679872746332,1025,0.5098656938539041,1.1153279411443706,5286,0.020712462603280954,0.024397531643856978,0.0007080987244240276,0.0004459600055008943,0.13681247888212977
21,0,-0.6980200961394174,0.390501710122516,0.16440820789849808,0.011345338080487828,0.005,294093398,1751679020,6.620848315152015,12.620848315152015,6311,12.622000000000885,1,0,0.0,0.0,0,0.11145737594479083,0.009595537112620192,0.7287308497478198,1120,0.4740333425730399,1.1097751941734566,5191,0.020311259573242337,0.023968693104064395,0.000717692712525908,0.0004382056215198078,0.14312621595360583
22,1,-0.6788508528710326,0.6816247763288588,0.45444680659380865,0.018226973994529858,0.005,646471554,1321243658,2.9936960926120113,8.993696092612012,4497,8.993999999999673,1,71,0.14200000000000002,0.01578830331331999,3,0.11523357667652669,0.0109759844136263,0.7021638859043533,940,0.39593543391447367,1.0838452989074034,3557,0.022009946625155243,0.038361253842496244,0.0010674305623818387,0.0006852832027286814,0.1714168581781284
22,0,-0.6788508528710326,0.6816247763288588,0.45444680659380865,0.018226973994529858,0.005,646471554,1321243658,2.9936960926120113,8.993696092612012,4497,8.993999999999673,1,76,0.152,0.016900155659328443,3,0.11483873509391924,0.008310721614474149,0.7002001757292907,930,0.39736718972971885,1.0840766290105506,3567,0.022044983851877687,0.0388882973853912,0.001068707951307963,0.0006894067161868922,0.17551236468809145
23,1,-0.844074508035627,0.5961251221614594,0.13046733307922082,0.011507440171406758,0.005,1940398011,1640307605,11.038775731872938,17.03877573187294,8520,17.040000000001434,1,143,0.28600000000000003,0.016784037558685447,5,0.11187611031803692,0.007162555053079091,0.7705043290224148,975,0.6533897513803764,1.24351297964701,7545,0.035961404091669286,0.0991674810465707,0.0007334962349293878,0.0005426678304512686,0.16964753098752341
23,0,-0.844074508035627,0.5961251221614594,0.13046733307922082,0.011507440171406758,0.005,1940398011,1640307605,11.038775731872938,17.03877573187294,8520,17.040000000001434,1,77,0.154,0.00903755868544601,3,0.11128816160479164,0.004278852447054194,0.7946803562425111,1160,0.5556687971562543,1.2322921000124363,7360,0.032795807840718005,0.09032230773634771,0.0007131237076183928,0.00043513268678450483,0.1579263363947525
24,1,-0.7983744968683226,0.4824259723297403,0.18417395405597092,0.011582878284891487,0.005,1367489184,556597679,6.954297505112067,12.954297505112066,6478,12.956000000000996,1,0,0.0,0.0,0,0.12195876753311884,0.007539360153775201,0.832460453659373,1235,0.49888486352584305,1.1842620298227795,5243,0.02086014834439855,0.02519123611112678,0.0007469541055296908,0.0004921415665038798,0.14015610510214105
24,0,-0.7983744968683226,0.4824259723297403,0.18417395405597092,0.011582878284891487,0.005,1367489184,556597679,6.954297505112067,12.954297505112066,6478,12.956000000000996,1,3049,6.098,0.4706699598641556,9,0.1361459256338007,0.007322127804931511,0.8263597450633431,1005,0.5802801352199356,1.1972966582392321,5473,0.044097795812124925,0.05670030754792219,0.0007278710796239114,0.00047133532316121976,0.1604600765243736
25,1,-0.8075391195401088,0.23369934665921116,0.2123695794861709,0.018453571891347744,0.005,917291909,1752809987,4.902954880442862,10.902954880442863,5452,10.90400000000031,1,0,0.0,0.0,0,0.13973429217381012,0.012622595687898596,0.8297955377034918,1260,0.4768743058441848,1.1886282361072553,4192,0.020227937643199665,0.025781101909890806,0.0008447791446226953,0.00047145851867738475,0.15298276722194643
25,0,-0.8075391195401088,0.23369934665921116,0.2123695794861709,0.018453571891347744,0.005,917291909,1752809987,4.902954880442862,10.902954880442863,5452,10.90400000000031,1,33,0.066,0.006052824651504035,2,0.13795934309862082,0.008555862569657088,0.8219337969510769,1165,0.4891640044325799,1.1930871949799675,4287,0.024367849911355693,0.02502524503424657,0.0008443302882176955,0.0004644240851319773,0.17601518201924546
26,1,-1.051854704985166,0.4844551561630332,0.18730616123967933,0.015322460511502288,0.005,1302376713,1782151745,8.202132011996753,14.202132011996753,7102,14.204000000001413,1,162,0.324,0.022810475922275416,3,0.1503722807261061,0.007915070512395756,1.0413069224522673,1490,0.5295369194560187,1.3844424795927417,5612,0.03202172462408503,0.10330342651401914,0.0008273577488370545,0.0005516020605218038,0.18303811145181667
26,0,-1.051854704985166,0.4844551561630332,0.18730616123967933,0.015322460511502288,0.005,1302376713,1782151745,8.202132011996753,14.202132011996753,7102,14.204000000001413,1,203,0.406,0.028583497606308083,6,0.14938651366138514,0.01264122088436039,1.0477137743582112,1475,0.529305748307432,1.385231183276088,5627,0.032178931395196696,0.10400339564582295,0.0008284839344553002,0.0005674959239794324,0.18157971835829423
27,1,-1.0458303520037493,0.7770343931936645,0.21973868316423656,0.013706914737074489,0.005,1640176069,158779452,8.295602389839447,14.295602389839447,7148,14.296000000001444,1,191,0.382,0.02672076105204253,4,0.1414244335492373,0.011023620574570138,1.0241279929330949,1285,0.5851134377915963,1.3939393205193844,5863,0.031460055447040856,0.11109921631871195,0.0009037808634623415,0.0006109358225287086,0.17412900188340294
27,0,-1.0458303520037493,0.7770343931936645,0.21973868316423656,0.013706914737074489,0.005,1640176069,158779452,8.295602389839447,14.295602389839447,7148,14.296000000001444,1,183,0.366,0.025601566871852267,3,0.13925731782438827,0.01089962997857137,1.0216498224894444,1245,0.5891481471244628,1.3961760928351135,5903,0.03197042968417916,0.10867982866312097,0.0009088094474347092,0.0006293160581821148,0.18381281023628074
28,1,-0.5689952040128743,0.5966171756681478,0.35325320190191434,0.018605004928009716,0.005,1296022970,1628563317,3.2996512796072843,9.299651279607284,4650,9.299999999999775,1,7,0.014,0.0015053763440860215,4,0.1040490064819449,0.006343175567767473,0.6455416587709937,860,0.3928344298390132,1.0125683479103214,3790,0.02213978279261525,0.03171932630196631,0.0009063203854373527,0.0006226843219696006,0.15382915744191158
28,0,-0.5689952040128743,0.5966171756681478,0.35325320190191434,0.018605004928009716,0.005,1296022970,1628563317,3.2996512796072843,9.299651279607284,4650,9.299999999999775,1,5,0.01,0.001075268817204301,5,0.1047841990988343,0.006692886182496163,0.6430956223548496,875,0.388771444795804,1.0119844486769314,3775,0.022023205809579848,0.03130062092096725,0.0009041414193141008,0.0006149791036709158,0.15613124580236515
29,1,-0.6110625287000482,0.2128757493096056,0.46781349040173115,0.015508424929488441,0.005,1521656582,1098352546,1.7612537793685754,7.761253779368575,3881,7.761999999999367,1,0,0.0,0.0,0,0.1171403858528965,0.008437820258923326,0.7209309996159649,910,0.3679279769378159,1.028330455538101,2971,0.01814762754601432,0.01676212823326289,0.0009325561061172123,0.000221910459387929,0.16883081643338455
29,0,-0.6110625287000482,0.2128757493096056,0.46781349040173115,0.015508424929488441,0.005,1521656582,1098352546,1.7612537793685754,7.761253779368575,3881,7.761999999999367,1,0,0.0,0.0,0,0.11768618468801223,0.008967316882012445,0.7182840599954107,905,0.3713013775467529,1.0283919040096925,2976,0.018341349699847832,0.018232816992079577,0.0009346962809818705,0.00022352808617097071,0.1688557946185937
